trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.5, 'e': 0.9754590385811684}",25,0,-142.77616736603997,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
149,False,"{'a': 0.5, 'e': 0.9751276698434788}",25,7,-77.34500426216358,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 2}",1
150,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-64.36741965464984,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.9744583510080781}",25,0,-84.33185837699638,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.9741204024163344}",30,0,-197.15558195680197,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
153,False,"{'a': 0.5, 'e': 0.9737802620540961}",25,11,-133.24281223913388,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 3}",1
154,False,"{'a': 0.5, 'e': 0.9734379306866789}",25,0,-287.6960977634145,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 5}",0
155,False,"{'a': 0.5, 'e': 0.9730934090843285}",20,0,-123.4773642721259,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
156,False,"{'a': 0.5, 'e': 0.9727466980222181}",20,0,-225.13845147996443,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 4}",0
157,False,"{'a': 0.5, 'e': 0.9723977982804476}",20,0,-131.42815920223742,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9720467106440411}",25,15,-16.880503698402457,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.9716934359029458}",20,0,-132.44582152081207,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
